Year,Agriculture,Assurance,Autres services,Banque,Commerce,Divers secteurs,Energie et mines,Grands travaux,Holding,Immobilier,Industrie,Pêche,TOTAL,Tourisme,Transports,Télécommunications
2010,60.6,206.6,1337.6,4562.7,1240.0,53.20000000001164,754.0,424.1,961.2,7268.4,4772.1,21.200000000000003,35068.3,4058.9,593.5,8754.199999999999
2011,92.4,148.60000000000002,1440.1999999999998,1357.4,1755.9,167.50000000000364,1799.2,570.7,1172.6,8118.5,6129.5,20.0,26060.2,2564.8,302.1,420.8
2012,85.7,2094.8,1729.2,1764.6,1479.7,65.0,5591.8,903.0,845.8,7331.5,8169.0,2.7,32091.7,1680.0,294.5,54.4
2013,316.7,118.2,2024.3,986.7,2282.0,91.400000000016,2250.6,1927.4,1729.6,7572.6,15335.0,58.1,39076.9,3340.6,909.5,134.2
2014,128.7,162.9,3132.1,873.5,2609.1,139.6999999999971,1419.4,1679.8,1890.9,10790.5,9893.0,19.1,36549.5,3389.5,229.8,191.5
2015,337.8,170.6,2611.1,840.2,2565.8,406.0000000000073,2081.3,2998.4,2635.6,10799.0,8714.2,9.1,39920.0,2349.8,394.1,3007.0
2016,374.0,310.3,2050.6,637.4,4654.1,420.7999999999956,499.3,2059.4,1585.5,11210.9,9676.0,51.2,35351.2,1080.7,548.7,192.3
2017,265.9,4115.6,2012.6,1266.1,3119.5,472.6999999999971,2118.5,926.3,591.3,9866.7,6816.8,3.9,34354.0,736.6,1803.5,238.0
2018,254.1,9637.3,2566.8,864.3,4047.3,120.0,3886.3,1488.4,962.7,7148.9,8743.4,12.3,46099.0,2338.6,3937.1,91.5
2019,383.0,361.0,2353.0,2089.0,1825.0,194.0,1337.0,703.0,1226.0,7078.0,12670.0,5.0,34489.0,2377.0,1744.0,144.0
2020,452.0,27.0,2218.0,1147.0,2492.0,79.0,1825.0,582.0,757.0,5770.0,7905.0,28.0,26005.0,997.0,970.0,756.0
2021,1114.0,724.0,2224.0,1600.0,2694.0,211.0,1273.0,924.0,1394.0,6578.0,9207.0,57.0,32537.0,2581.0,1559.0,397.0
2022,583.0,111.0,4107.0,772.0,1748.0,387.0,1662.0,1472.0,414.0,7483.0,15224.0,30.0,40297.0,2237.0,2871.0,1196.0
2023,654.0,36.0,2959.0,1238.0,3415.0,115.0,3204.0,900.0,755.0,7484.0,14265.0,163.0,39745.0,2359.0,2050.0,148.0
2024,662.0,1194.0,3235.0,759.0,2872.0,163.0,2361.0,943.0,1072.0,9644.0,16464.0,34.0,43802.0,1843.0,1355.0,1201.0
2025,752.0,794.0,3005.0,886.0,3687.0,74.0,3658.0,459.0,1961.0,9118.0,15988.0,6.0,43609.0,2616.0,528.0,77.0
